,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Construction supervisors,0.069015273,-0.107847923,0.017895407,0.005904233,-0.102998495,-0.005255158,-0.103186837,0.028569307,-0.085323877,-0.137145693,-0.002944528,-0.040755707,0.028733446,-0.022197918,-0.031792093,-0.046726016,-0.034264735,0.071324733,0.08269389,-0.186602588,0.189601164,-0.051534534,-0.144092893,-0.116405184,-0.095833038,-0.12004903,0.05849645,-0.026106448,-0.078572362,-0.066822152,0.459770317,-0.053078968,-0.035680752,-0.19562901,0.006620318,0.007411783,0.090427089,-0.009353453,0.161059168,0.0691625,-0.165499304,-0.102873429,0.06428085,0.053492601,-0.072561687,-0.117217589,-0.109600252,0.05837822,0.07006618,0.079436474
Retail and wholesale trade managers,-0.03426557,-0.124687968,0.02844709,0.03617298,0.078524784,-0.096373602,-0.186414021,-0.135225799,0.041154486,0.013696882,0.049985458,-0.009641008,-0.051711742,-0.011702993,0.081626196,0.072372994,0.006472298,-0.053769881,0.046736193,-0.137305788,0.272176305,-0.136271593,-0.128913907,0.021485901,-0.182946441,-0.112759919,0.015202951,-0.035626665,0.070587931,0.085438767,0.519362637,0.056191547,0.131860701,-0.010867252,-0.040330978,-0.094764396,-0.104393915,-0.002703213,0.080088116,0.004667305,-0.086063516,-0.050211719,0.041213565,0.048882027,0.075949922,-0.028191017,-0.078593787,0.134786354,0.065842476,0.093807569
Hotel managers,0.190987484,0.034925728,0.001292093,0.033945392,0.06749374,-0.250949497,-0.238624515,0.036514947,-0.08817781,-0.062953366,-0.056623701,0.056618983,-0.048004269,0.038421144,0.059734292,0.063761707,0.00729242,0.098530397,-0.055250919,-0.16629439,0.21133235,0.091184551,-0.141992559,0.051335821,-0.18756399,-0.15871814,-0.060854505,0.018998127,-0.056463344,-0.026782998,0.449498581,0.074172191,0.063380999,-0.06125223,0.105126088,-0.015692399,0.000232997,-0.037296096,0.119478591,-0.057219757,-0.069268255,-0.055319225,0.057218531,0.151239793,0.00952189,-0.075074846,-0.169289728,-0.007574232,0.07627775,0.098081528
Restaurant managers,0.109106213,-0.018989197,-0.05151244,0.01672578,0.123939739,-0.190133739,-0.253706579,0.019500573,-0.040348017,-0.029497879,-0.035099631,0.039803573,0.006069016,0.118703722,0.065199785,0.002629857,0.041247928,0.112875475,-0.013270164,-0.187216005,0.225638422,0.02204487,-0.08911442,0.146472919,-0.163502223,-0.155846554,-0.082942026,0.027044666,-0.018586981,-0.030283073,0.459559832,0.040339846,0.058908694,0.000751806,0.055107759,-0.006342403,-0.029924344,0.048876755,0.164223901,-0.01683842,-0.029137537,-0.0182115,0.001341391,0.133770876,0.076844136,-0.046105832,-0.155010361,0.040110806,0.090317793,0.167946062
"Supply, distribution and related managers",0.125515352,-0.057302331,0.061201487,0.061691606,0.005525427,0.003532545,-0.085719585,-0.096618674,0.14809716,0.000810375,0.104903743,0.065728109,-0.005865634,-0.05736737,0.044440545,0.051536203,-0.009679787,0.0324485,0.032857167,-0.130520026,0.150700474,-0.107469246,0.016429361,-0.006227078,-0.12875972,-0.143494739,-0.021139324,-0.04819576,0.092176558,0.084423119,0.613800629,0.019812566,0.071784322,-0.144471133,0.015483204,0.026469159,-0.067341644,-0.011647944,0.055615725,0.054204329,-0.027194607,-0.038080991,0.042843925,0.088591465,-0.009308154,-0.037114738,-0.061158215,0.157827605,0.002706261,0.0615968
Information and communications technology service managers,0.048176929,0.005826599,0.160984118,0.137289661,-0.008385076,-0.111467968,-0.154718319,-0.103868468,0.083903343,-0.074818637,0.063218013,0.106776229,-0.027244273,0.009617001,-0.069669036,0.046251401,-0.120713557,0.049780047,0.030201057,-0.069794027,0.199403221,0.036415437,-0.038130417,-0.007264899,-0.014559224,-0.235767307,-0.017310224,-0.146860472,0.001932736,0.019090424,0.562171101,0.010876996,0.004453975,-0.198030252,-0.020651334,0.008242933,-0.060978615,0.017930044,0.039615688,0.016978487,0.104959355,-0.033323901,0.039915131,0.111711562,-0.012396536,-0.02787815,-0.028866182,0.145579282,0.017307127,0.115219817
Business services and administration managers not elsewhere classified,0.096733541,-0.036533552,0.0553164,-0.003948886,0.000499777,-0.053814646,-0.134133437,-0.03124219,0.014471287,-0.071469168,0.025351163,0.055551234,-0.015893266,-0.041249362,0.0288342,0.060022696,-0.045255151,0.009538812,0.056204676,-0.075606393,0.108726894,-0.019324083,0.019047924,0.014106736,-0.059255917,-0.291510091,-0.030342325,-0.041800835,0.002824249,0.014988662,0.596795122,0.014579862,0.021122286,-0.196892392,-0.004655564,-0.014820163,-0.058918205,0.032343811,-0.011020408,-0.02085668,-0.030936411,-0.042581128,0.082961068,0.098618619,-0.007932621,-0.031581287,-0.108540137,0.121423738,0.025307218,0.067355096
Financial and insurance services branch managers,0.077411753,0.001639511,0.0314389,0.025683815,-0.005284625,-0.016383497,-0.144464643,-0.022547689,0.05228629,-0.137254796,0.021590972,0.103108858,-0.045657604,-0.027371843,-0.073193932,0.037110505,-0.051604996,0.008288588,0.054314623,-0.031434301,0.205563417,-0.0502201,-0.11535472,-0.001538143,-0.141587945,-0.242727257,-0.010405096,-0.09995986,-0.065015253,0.016714735,0.565432008,0.065511392,0.120663946,-0.087294906,-0.019715972,-0.038985787,-0.072689467,-0.058533719,0.165719728,-0.037880715,-0.040671927,-0.093850783,0.062766627,0.144596868,-0.034185155,-0.06300847,-0.092211904,0.124549179,0.072553642,0.10192351
Policy and planning managers,0.076224151,-0.039671962,-0.008113814,-0.033366964,0.019421209,-0.105790468,-0.107851916,-0.088781214,-0.042128765,-0.080096959,-0.030224967,0.076035349,-0.076958787,0.034513684,0.001708821,0.030732917,0.069710198,0.003593051,0.084724717,-0.068872603,0.160400923,-0.008334997,-0.077560861,-0.049837224,-0.062660237,-0.27564504,0.028461396,-0.108181646,-0.05284714,0.068598193,0.585257869,0.069906736,-0.1045858,-0.205610751,-0.03560431,-0.015957865,-0.049831014,0.01826864,0.012339359,-0.004040582,-0.125131926,-0.067776618,0.036404113,0.090681857,0.041389471,-0.104297089,-0.065276603,0.217306455,0.071362464,0.178335063
Child care services managers,0.093849858,0.010237162,0.015940146,-0.094664778,0.050979,0.055031821,-0.147822314,-0.03730409,0.125765952,-0.063397745,0.034011984,0.076599669,0.013324023,-0.041026113,0.045591412,0.001220114,-0.074747736,0.040633769,0.119940567,-0.064847192,0.106762117,0.091003385,-0.070836986,0.04750087,-0.058744456,-0.24007477,-0.013313747,-0.151397412,-0.002692698,0.018687974,0.573207,0.137369965,0.019345244,-0.136020597,0.014332881,0.03657125,0.006108994,-0.012016576,0.149783684,-0.068395599,-0.051162765,-0.058801155,0.040668728,0.13863814,0.042430818,-0.054358723,-0.081925309,0.030712806,0.042150548,0.169943074
Health services managers,0.08298773,-0.005287923,0.049700767,-0.010732576,-0.022475576,-0.054783949,-0.185920531,-0.061202674,0.115760856,-0.103475685,0.0582642,0.075441321,0.003310063,-0.030178799,-0.018988253,0.033203855,-0.07119707,0.030218833,0.102672389,-0.078952105,0.143676835,0.036141851,-0.057894031,0.010325896,-0.095987281,-0.205913437,0.012164481,-0.141312441,-0.078065105,0.079373407,0.592172218,0.142706004,0.047876742,-0.165021105,-0.009726408,0.002504435,-0.021466801,0.010559902,0.169491702,-0.004378897,-0.048843017,-0.061513101,0.042251899,0.147781645,0.045167562,-0.028410666,-0.137064936,0.148644893,0.078559703,0.167356915
